,date,pe,close
4173,2016/5/5,15.05,2997.84
4174,2016/5/6,14.62,2913.25
4175,2016/5/9,14.22,2832.11
4176,2016/5/10,14.22,2832.59
4177,2016/5/11,14.24,2837.04
4178,2016/5/12,14.24,2835.86
4179,2016/5/13,14.19,2827.11
4180,2016/5/16,14.31,2850.86
4181,2016/5/17,14.27,2843.68
4182,2016/5/18,14.09,2807.51
4183,2016/5/19,14.09,2806.91
4184,2016/5/20,14.18,2825.48
4185,2016/5/23,14.27,2843.65
4186,2016/5/24,14.16,2821.67
4187,2016/5/25,14.13,2815.09
4188,2016/5/26,14.17,2822.44
4189,2016/5/27,14.16,2821.05
4190,2016/5/30,14.17,2822.45
4191,2016/5/31,14.41,2916.62
4192,2016/6/1,14.39,2913.51
4193,2016/6/2,14.45,2925.23
4194,2016/6/3,14.52,2938.68
4195,2016/6/6,14.5,2934.1
4196,2016/6/7,14.51,2936.04
4197,2016/6/8,14.46,2927.16
4198,2016/6/13,14,2833.07
4199,2016/6/14,14.04,2842.19
4200,2016/6/15,14.26,2887.21
4201,2016/6/16,14.19,2872.82
4202,2016/6/17,14.25,2885.1
4203,2016/6/20,14.27,2888.81
4204,2016/6/21,14.22,2878.56
4205,2016/6/22,14.36,2905.55
4206,2016/6/23,14.29,2891.96
4207,2016/6/24,14.1,2854.29
4208,2016/6/27,14.31,2895.7
4209,2016/6/28,14.39,2912.56
4210,2016/6/29,14.48,2931.59
4211,2016/6/30,14.43,2929.61
4212,2016/7/1,14.44,2932.48
4213,2016/7/4,14.72,2988.6
4214,2016/7/5,14.81,3006.39
4215,2016/7/6,14.86,3017.29
4216,2016/7/7,14.86,3016.85
4217,2016/7/8,14.72,2988.09
4218,2016/7/11,14.75,2994.92
4219,2016/7/12,15.02,3049.38
4220,2016/7/13,15.08,3060.69
4221,2016/7/14,15.04,3054.02
4222,2016/7/15,15.04,3054.3
4223,2016/7/18,14.99,3043.56
4224,2016/7/19,14.96,3036.6
4225,2016/7/20,14.91,3027.9
4226,2016/7/21,14.97,3039.01
4227,2016/7/22,14.84,3012.82
4228,2016/7/25,14.85,3015.83
4229,2016/7/26,15.02,3050.17
4230,2016/7/27,14.74,2992
4231,2016/7/28,14.75,2994.32
4232,2016/7/29,14.77,2979.34
4233,2016/8/1,14.81,2953.39
4234,2016/8/2,14.9,2971.28
4235,2016/8/3,14.94,2978.46
